	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
Indice_estomatico_pct	0,18524809495499348	0,18295144151629514	-0,1565889122263884	0,17101124347942281	0,1106099347643796	0,07110300463574526	-0,005547583580707882	0,14396597768124994	0,002843304746984568	0,09671662122919207	-0,24317364969849317	0,1087058911215655	-0,2714591125321372	-0,22216445093614187	0,6031071028620261	0,05303783237748513	0,4290569046565215	-0,25008832903887196	-0,01563039097295416	0,10951167451266657	-0,06515827614986093	-0,0673622649269015	0,027886368149472582	-0,01824693042955231	-0,024986282558561404	0,030025497432085144	-0,010808387418602822	-0,00506242976370125	-0,007460256199445491	7,612024447743282e-15
Tricomas_mm2	0,19067623161061895	-0,11652653517830178	0,20728651583001623	0,0753808327391228	-0,04412134268579267	-0,029124371660445496	0,009046924298127727	-0,03228358484384317	0,06804422898584495	-0,12938063577978853	-0,030531412172851408	0,06470346596276577	0,07511401447078798	0,07429775826659953	-0,0681230278742833	-0,10975377793085078	0,1470723050751297	-0,20881848132689357	0,2136253657689461	-0,07995328660184314	0,21293735697125074	0,08675963136549626	-0,31698564099778614	-0,40596260129630374	-0,04389543687845653	0,4314855148701139	-0,39547405525810203	-0,05850492415024094	0,24456134072989036	9,771866456481907e-14
Comprimento_tricoma_um	0,18984260163619665	-0,141090115599593	0,1613179034493354	0,20489829057084624	0,08798146598938639	0,08822468055389074	0,02490549549291544	0,039249928114281823	0,07096898734964972	-0,1223104481113548	-0,02217231046432939	0,037252499460385814	0,04246471370733972	0,03544048902759671	-0,07216994601739743	-0,13238275892946014	-0,037269213076385393	-0,21198205916204962	0,05092388413771879	-0,17374722733600365	-0,06292688709246821	-0,265592688613863	-0,18867983788453013	-0,19663579222717356	0,031161732139071727	-0,3338201536314644	0,12190036680810978	-0,3710642930844942	-0,5637956780639544	5,242020696741353e-13
Densidade_veias_mm_mm2	0,16326028084432656	0,2505708007887401	-0,2703232601904312	-0,07345194395471395	-0,11387197172662852	0,0438126328843363	0,1446109274845423	0,020154189992043735	0,7367916363519411	-0,14124765966960384	0,4131144582204649	0,15052493108639373	0,09470770674313776	-0,17111292737843967	-0,012312603219922537	0,00023470935361276994	-0,01256063923637519	0,003719915599596464	-0,019946341779520562	-0,00519439582371012	-0,01145449125766557	0,019890288905041274	-0,009969082017273492	-0,003868619880234957	0,007997297354182935	-0,0025537213296577526	0,005384083501459419	-0,0034455780005363417	0,0012994907482010778	4,914145829451557e-15
Diametro_veia_maior_um	0,2016308725868381	0,007921070893056605	0,06866628553293071	0,09974230203810518	0,22166983151839356	0,021928369019382617	0,024365714427540718	0,0022308085368053423	0,008679993732958118	-0,09077893029122494	-0,04329416047643804	0,03995627764983179	-0,017019077953187	0,011188030110986428	-0,038690282294432436	-0,20499446630335075	-0,17014997251521935	-0,10122572499765353	-0,060511658339038384	-0,06041300358586427	-0,17681882477858415	-0,06304678660365289	0,03466444348943106	-0,3297827011777291	-0,09844780069644214	-0,23038827803597953	0,4795408649055573	0,18868460641359663	0,5644829005541886	-2,7585604726011416e-13
Diametro_veia_menor_um	0,20072509656443113	-0,025274898361519887	0,08345194736067542	0,20587028424071172	-0,10829847670466472	0,05703306823175167	-0,005366278966629713	0,015592263495580435	0,02061936685040084	-0,14916508702857784	-0,11011679246685213	-0,0627819996207126	0,08471966542434232	0,07778654512445518	0,034444566247129764	-0,16093303723989136	0,013236229649728561	-0,10217127319969667	-0,23549527145252222	-0,0026811886923493616	-0,055587454640696164	0,7939037729020004	-0,13519146837636162	0,2753388609849091	-0,03206256915196764	-0,10621395421797866	0,0713072102327355	-0,030701689911894915	-0,059467378563840226	4,1634122681353184e-14
Espacos_intercelulares_pct	-0,19170634604264372	0,04463317590140121	0,14245186294895731	0,4104262846149718	0,16425475804444048	0,036531533842891824	-0,13729716867329458	0,03952555248483947	0,17344316045997898	-0,006772128466397719	0,03921683678940927	0,011144145836112602	-0,4069774924417856	-0,11749594888330135	-0,13141926502674361	-0,30752517448322625	0,18789853287040648	0,5274465420828467	0,2175391013772491	-0,07639980464523838	0,16291238724023743	0,06494204818970463	-0,005557147241902088	0,043352970168999964	0,003934981508848502	-0,03103384063294526	0,017576412765539017	-0,0017165415661761338	0,009664812353558015	2,176806066989048e-15
Clorofila_SPAD	0,18361048065004862	0,1865702121367219	-0,1662406701782607	0,06808349671883462	-0,24843944519758715	0,028406115836904697	-0,003200468645171354	0,005742668912402083	-0,09945017599963119	-0,08685424606106228	-0,17077364186436916	-0,2914606988147248	0,19688416341795545	-0,10282641711786791	0,29030086166484176	0,09006300472622983	-0,2606234608295172	0,22018742120338364	0,48745151870289155	-0,4434439767613786	0,06664986016907076	0,04222509945287796	0,031780697450893285	-0,019861531701030104	0,012007255567236584	-0,0600866512210836	0,027582458952215345	0,013106303265658389	0,019752165239229957	-1,943906136112417e-14
Fotossintese_umol_m2_s	0,10080770150200928	0,39712545350902817	-0,3242784745210177	0,019724836201879908	0,15464306194363864	-0,02165564860097877	-0,021095154593737994	0,03222378548412489	-0,035207754591109426	-0,03085065264614102	-0,04447503321145349	-0,38659009387110466	-0,1617074991682513	0,39479036412370355	-0,4449376112687224	0,10879487509636188	0,3127410349155106	-0,1998281240034066	0,10251415577216068	-0,07012806570376676	-0,026277455843830243	0,009681821584409004	0,009849077721523014	0,004019587710093656	0,0192076763939957	-0,023492595881217077	0,013515424408502551	0,001537621390235471	-0,010598611271200943	-2,795493765594874e-15

